>test 测试
>ThingManager_bntEggThing 孵化/受精
>ThingManager_lable6 修复物品:
>ThingManager_lable7 移除物品:
>ThingManager_lable13 全部重画:
>ThingManager_lable11 取消禁用:
>ThingManager_lable12 全部禁用:
>ThingManager_bntShowBase 基础属性
>ThingManager_bntShowFB 法宝属性
>ThingManager_bntShowEquip 模块属性

>ThingManager_Tips1 对列表的值进行修改(需要点“确认列表”才能修改数据)
>ThingManager_Tips2 按列表的值对游戏数据进行逐项修改
>ThingManager_Tips3 可改变物品归属，可进行体修的精华绑定
>ThingManager_Tips4 显示全部的NPC
>ThingManager_Tips5 显示全部的人物
>ThingManager_Tips6 可对蛋进行智能受精/孵化
>ThingManager_Tips7 种族不可用!
>ThingManager_Tips8 物品不可用!
>ThingManager_Tips9 孵化成功!
>ThingManager_Tips10 受精成功!
>ThingManager_Tips11 未知错误!
>ThingManager_Tips12 物品绑定角色成功!
>ThingManager_Tips13 物品绑定角色失败!
>ThingManager_Tips14 显示全部人物!
>ThingManager_Tips15 显示全部角色!
>ThingManager_Tips16 更新物品成功!
>ThingManager_Tips17 选中物品成功!
>ThingManager_Tips18 显示基础属性成功!
>ThingManager_Tips19 显示法宝属性成功!
>ThingManager_Tips20 不是法宝或异常!如果是胚胎，则激活该胚胎!
>ThingManager_Tips21 修改列表成功!
>ThingManager_Tips22 查看基础属性列表成功!
>ThingManager_Tips23 搜索成功!
>ThingManager_Tips24 搜索失败!
>ThingManager_Tips25 确认物品法宝属性列表成功!
>ThingManager_Tips26 确认物品基础属性列表成功!
>ThingManager_Tips27 修复搜索列表所有的物品成功!
>ThingManager_Tips28 修复搜索列表所有的物品失败!
>ThingManager_Tips29 修复全部列表所有的物品成功!
>ThingManager_Tips30 修复全部列表所有的物品失败!
>ThingManager_Tips31 移除搜索列表所有的物品成功!
>ThingManager_Tips32 移除搜索列表所有的物品失败!
>ThingManager_Tips33 移除全部列表所有的物品成功!
>ThingManager_Tips34 移除全部列表所有的物品失败!
>ThingManager_Tips35 重画搜索列表的所有的物品成功!
>ThingManager_Tips36 重画搜索列表的所有的物品失败!
>ThingManager_Tips37 重画全部列表的所有的物品成功!
>ThingManager_Tips38 重画全部列表的所有的物品失败!
>ThingManager_Tips39 取消禁用搜索列表的所有的物品成功!
>ThingManager_Tips40 取消禁用搜索列表的所有的物品失败!
>ThingManager_Tips41 取消禁用全部列表的所有的物品成功!
>ThingManager_Tips42 取消禁用全部列表的所有的物品失败!
>ThingManager_Tips43 禁用搜索列表的所有的物品成功!
>ThingManager_Tips44 禁用搜索列表的所有的物品失败!
>ThingManager_Tips45 禁用全部列表的所有的物品成功!
>ThingManager_Tips46 禁用全部列表的所有的物品失败!
>ThingManager_Tips47 改变搜索列表的所有的物品归属成功!
>ThingManager_Tips48 改变搜索列表的所有的物品归属失败!
>ThingManager_Tips49 改变全部列表的所有的物品归属成功!
>ThingManager_Tips50 改变全部列表的所有的物品归属失败!
>ThingManager_Tips51 当前无选中物品!
>ThingManager_Tips52 通灵塑体成功!
>ThingManager_Tips53 通灵塑体失败!
>ThingManager_Tips54 通灵成功!
>ThingManager_Tips55 通灵失败!
>ThingManager_Tips56 塑体成功!
>ThingManager_Tips57 塑体失败!
>ThingManager_Tips58 人物列表
>ThingManager_Tips59 NPC列表
>ThingManager_Tips60 地图无物品
>ThingManager_Tips61 物品列表
>ThingManager_Tips62 物品基础属性
>ThingManager_Tips63 物品法宝属性

>----------window17 门派管理--堂----------
>SchoolTangManager_Title 门派管理--堂
>SchoolTangManager_lable3111 门派编号:
>SchoolTangManager_ShowLableNpc 当前选择的分堂
>SchoolTangManager_bntChooseTang 选择
>SchoolTangManager_ShowLableAttribute 当前选择的属性
>SchoolTangManager_lable3 属性编号:
>SchoolTangManager_lable4 属性:
>SchoolTangManager_bntSetList 修改列表
>SchoolTangManager_bntYesSetList 确认列表
>SchoolTangManager_lable5 人员管理:
>SchoolTangManager_RemoveNPCInList 移除该人
>SchoolTangManager_AddNPCToList 添加NPC
>SchoolTangManager_UpdateTangNPCList 人员列表
>SchoolTangManager_bntTangs 分堂
>SchoolTangManager_bntNPCs NPC
>SchoolTangManager_bntNPCMen MEN
>SchoolTangManager_input2 清风堂

>SchoolTangManager_Tips1 编号为空,修改失败!
>SchoolTangManager_Tips2 编号溢出,修改失败!
>SchoolTangManager_Tips3 成功选择分堂
>SchoolTangManager_Tips4 修改列表数据成功!
>SchoolTangManager_Tips5 修改数据成功!
>SchoolTangManager_Tips6 显示所有分堂成功!
>SchoolTangManager_Tips7 显示所有NPC成功!
>SchoolTangManager_Tips8 显示所有人物成功!
>SchoolTangManager_Tips9 显示分堂所有人物成功!
>SchoolTangManager_Tips10 该人移出分堂!
>SchoolTangManager_Tips11 该人加入分堂!
>SchoolTangManager_Tips12 分堂人物列表--ID
>SchoolTangManager_Tips13 人物列表--ID
>SchoolTangManager_Tips14 堂列表
>SchoolTangManager_Tips15 当前无分堂!
>SchoolTangManager_Tips16 堂属性

>----------window18 门派管理----------
>SchoolManager_Title 门派管理
>SchoolManager_ShowLableNpc 当前选择的门派
>SchoolManager_lable3111 门派编号:
>SchoolManager_bntUpdataSchoolAttribute 我的门派
>SchoolManager_bntChooseSchool 选择
>SchoolManager_bntShowAllSchool 全部门派
>SchoolManager_bntRemoveSchool 删除数据
>SchoolManager_ShowLableAttribute 当前选择的属性
>SchoolManager_lable3 属性编号:
>SchoolManager_lable4 属性:
>SchoolManager_bntSetList 修改列表
>SchoolManager_bntYesSetList 确认列表
>SchoolManager_lable5 更多管理:
>SchoolManager_bntEnterTangMgr 堂管理

>SchoolManager_Tips1 进入堂管理
>SchoolManager_Tips2 查看我的门派
>SchoolManager_Tips3 查看全部门派成功!
>SchoolManager_Tips4 编号为空,修改失败!
>SchoolManager_Tips5 编号溢出,修改失败!
>SchoolManager_Tips6 成功选择门派
>SchoolManager_Tips7 修改列表数据成功!
>SchoolManager_Tips8 修改数据成功!
>SchoolManager_Tips9 不能删除该门派!
>SchoolManager_Tips10 尝试删除该门派数据!
>SchoolManager_Tips11 删除该数据成功!
>SchoolManager_Tips12 删除该数据失败!
>SchoolManager_Tips13 显示全部门派成功!
>SchoolManager_Tips14 显示全部门派失败!
>SchoolManager_Tips15 基础属性
>SchoolManager_Tips16 门派属性-
>SchoolManager_Tips17 门派列表

>----------window19 画符管理----------
>QuickPainterFuSet_Title 画符管理
>QuickPainterFuSet_fuName 未知符咒
>QuickPainterFuSet_bntSetFu 修改品质
>QuickPainterFuSet_bntSetAllFu 全部修改
>QuickPainterFuSet_bntReOneFu 单项移除
>QuickPainterFuSet_bntClearMyFu 全部移除
>QuickPainterFuSet_bntShowMyFu 刷新列表
>QuickPainterFuSet_fuq 品质:
>QuickPainterFuSet_bntAddOneFu 单项添加
>QuickPainterFuSet_bntAddAllFu 全部添加
>QuickPainterFuSet_bntShowAllFu 全部符咒

>QuickPainterFuSet_Tips1 修改成功
>QuickPainterFuSet_Tips2 成功修改数:
>QuickPainterFuSet_Tips3 总数:
>QuickPainterFuSet_Tips4 刷新快速画符列表成功!
>QuickPainterFuSet_Tips5 刷新全部符咒列表成功!
>QuickPainterFuSet_Tips6 清空快速画符列表成功!
>QuickPainterFuSet_Tips7 清空快速画符列表失败!
>QuickPainterFuSet_Tips8 单项移除成功!
>QuickPainterFuSet_Tips9 单项移除失败!
>QuickPainterFuSet_Tips10 单项添加成功!
>QuickPainterFuSet_Tips11 单项添加失败!
>QuickPainterFuSet_Tips12 成功添加数:
>QuickPainterFuSet_Tips13 【名字】
>QuickPainterFuSet_Tips14 【描述】
>QuickPainterFuSet_Tips15 【真名】
>QuickPainterFuSet_Tips16 【模板】
>QuickPainterFuSet_Tips17 【解锁】
>QuickPainterFuSet_Tips18 【五维】
>QuickPainterFuSet_Tips19 【技能】
>QuickPainterFuSet_Tips20 【词条】
>QuickPainterFuSet_Tips21 [名字]
>QuickPainterFuSet_Tips22 [等级]
>QuickPainterFuSet_Tips23 [上限]
>QuickPainterFuSet_Tips24 [经验]
>QuickPainterFuSet_Tips25 [类型]
>QuickPainterFuSet_Tips26 [附加值V]
>QuickPainterFuSet_Tips27 [附加值P]
>QuickPainterFuSet_Tips28 [基础值V]
>QuickPainterFuSet_Tips29 [基础值P]
>QuickPainterFuSet_Tips30 全部符咒列表
>QuickPainterFuSet_Tips31 快速画符列表

>----------window20 植物管理----------
>PlantManager_Title 植物管理
>PlantManager_lable3111 植物编号:
>PlantManager_ShowLableNpc 当前选择的植物
>PlantManager_bntSetset 禁止改变
>PlantManager_NoGrass 忽略草
>PlantManager_NoStone 忽略石块
>PlantManager_lable6 修复植物:
>PlantManager_lable7 移除植物:
>PlantManager_lable9 改变归属:

>PlantManager_Tips1 选中植物成功!
>PlantManager_Tips2 修复搜索列表所有的植物成功!
>PlantManager_Tips3 修复搜索列表所有的植物失败!
>PlantManager_Tips4 修复全部列表所有的植物成功!
>PlantManager_Tips5 修复全部列表所有的植物失败!
>PlantManager_Tips6 移除搜索列表所有的植物成功!
>PlantManager_Tips7 移除搜索列表所有的植物失败!
>PlantManager_Tips8 移除全部列表所有的植物成功!
>PlantManager_Tips9 移除全部列表所有的植物失败!
>PlantManager_Tips10 改变搜索列表的所有的植物归属成功!
>PlantManager_Tips11 改变搜索列表的所有的植物归属失败!
>PlantManager_Tips12 改变全部列表的所有的植物归属成功!
>PlantManager_Tips13 改变全部列表的所有的植物归属失败!
>PlantManager_Tips14 操作搜索列表所有的植物成功!
>PlantManager_Tips15 操作搜索列表所有的植物失败!
>PlantManager_Tips16 操作全部列表所有的植物成功!
>PlantManager_Tips17 操作全部列表所有的植物失败!
>PlantManager_Tips18 地图无植物
>PlantManager_Tips19 更新植物列表成功!
>PlantManager_Tips20 总数:
>PlantManager_Tips21 植物列表
>PlantManager_Tips22 无植物属性
>PlantManager_Tips23 植物属性

>----------window21 地点管理----------
>PlaceSet_Title 地点管理
>PlaceSet_l1 地点解锁:
>PlaceSet_lable1 地点:
>PlaceSet_l2 影响值修改:
>PlaceSet_lable2 影响值:
>PlaceSet_l3 地区修改:

>PlaceSet_Tips1 成功解锁数:
>PlaceSet_Tips2 全部解锁成功!
>PlaceSet_Tips3 刷新地点解锁列表成功!
>PlaceSet_Tips4 修改地点解锁列表失败!
>PlaceSet_Tips5 修改失败!
>PlaceSet_Tips6 确认列表失败!
>PlaceSet_Tips7 修改列表成功!
>PlaceSet_Tips8 修改列表失败!
>PlaceSet_Tips9 刷新列表成功!
>PlaceSet_Tips10 刷新列表失败!
>PlaceSet_Tips11 属性列表
>PlaceSet_Tips12 地区列表
>PlaceSet_Tips13 地点解锁列表

>----------window22 杂项修改----------
>OthersSet_Title 杂项修改
>OthersSet_QuickWork 快速工作
>OthersSet_QuickBuild 快速建造
>OthersSet_NoEvent 禁止发生事件
>OthersSet_NoBurning 关闭物品可燃
>OthersSet_NoNeed 关闭人物需求
>OthersSet_NoDayNight 关闭昼夜交替
>OthersSet_CloseAutoSave 关闭自动存档
>OthersSet_ShowAllBuff 显示所有Buff
>OthersSet_KnowEveryGod KnowEveryGod
>OthersSet_AllGod 全部单位无敌
>OthersSet_CloseMapFog 关闭地图迷雾
>OthersSet_LingView 灵气动态效果显示
>OthersSet_KongMing 允许工作“放孔明灯”
>OthersSet_ChangeAddLing9 物品灵气范围9
>OthersSet_ChangeZhenXian 强制真仙模式
>OthersSet_ChangeToRange9999 堆叠上限999
>OthersSet_ChangeBuildding99999 建筑耐久999999
>OthersSet_ChangeBeauty999 美观999
>OthersSet_ChangeLing999 物品聚灵999

>OthersSet_Tips1 切换成功!
>OthersSet_Tips2 已开启。重启存档有效!
>OthersSet_Tips3 已关闭。重启存档有效!

>----------window23 其他MOD----------
>OthersModManager_Title 其他MOD
>OthersModManager_lable1 地图助手:
>OthersModManager_lable2 杂项助手:
>OthersModManager_bntYesMapHelper 进入

>OthersModManager_Tips1 绿色可用，红色不可用!

>----------window24 NPC更多管理----------
>NpcManagerTitle_Title NPC更多管理
>NpcManagerTitle_ShowLableTitle 称号管理:
>NpcManagerTitle_ShowLableTitleID 称号编号:
>NpcManagerTitle_lableP1 名称:
>NpcManagerTitle_lableP2 简介:
>NpcManagerTitle_lableP3 等级:
>NpcManagerTitle_lableP4 类型:
>NpcManagerTitle_lableP5 参数:
>NpcManagerTitle_bntNpcAddTitle 添加称号
>NpcManagerTitle_bntNpcRemoveTitle 移除称号
>NpcManagerTitle_bntUpdateTitle 更新列表
>NpcManagerTitle_ShowLableNeed 需求管理:
>NpcManagerTitle_ShowLableTitleID2 需求编号:
>NpcManagerTitle_lablen1 值:
>NpcManagerTitle_bntUpdateNeed 更新列表
>NpcManagerTitle_bntSetNeedValue 修改数值
>NpcManagerTitle_bntFullNeed1 需求拉满
>NpcManagerTitle_bntRemoveNeed 模块移除
>NpcManagerTitle_ShowLableJob 工作管理:
>NpcManagerTitle_ShowLableJobID 工作编号:
>NpcManagerTitle_bntUpdateJob 更新列表
>NpcManagerTitle_bntBeginJob 开始工作
>NpcManagerTitle_bntFinishJob 结束工作
>NpcManagerTitle_bntGetCMD 得到命令
>NpcManagerTitle_bntFindJob 寻找工作
>NpcManagerTitle_bntFindAllNpcJob 遍历工作
>NpcManagerTitle_ShowLableRelationShip 关系管理:
>NpcManagerTitle_bntRemoveRelation 移除关系
>NpcManagerTitle_bntRemoveAllRelation 全部移除
>NpcManagerTitle_bntUpdateRelation 现有关系
>NpcManagerTitle_bntShowAllRelation 所有关系
>NpcManagerTitle_bntRemoveRelationOne 移除该项
>NpcManagerTitle_bntRemoveRelationNpcAll 断绝联系
>NpcManagerTitle_bntShowRelationAllNpc 全部NPC
>NpcManagerTitle_bntAddRelation 添加关系
>NpcManagerTitle_ShowLableFlag 标志管理:
>NpcManagerTitle_lablenf1 标志ID:
>NpcManagerTitle_bntRemoveFlag 移除标志
>NpcManagerTitle_bntAddFlag 添加标志
>NpcManagerTitle_bntShowAllFlag 全部标志
>NpcManagerTitle_ 

>NpcManagerTitle_Tips1 当前选择的称号
>NpcManagerTitle_Tips2 当前选择的需求
>NpcManagerTitle_Tips3 当前选择的命令
>NpcManagerTitle_Tips4 当前选择的工作
>NpcManagerTitle_Tips5 当前关系
>NpcManagerTitle_Tips6 当前NPC
>NpcManagerTitle_Tips7 NPC标志列表
>NpcManagerTitle_Tips8 标志列表
>NpcManagerTitle_Tips9 全部关系列表
>NpcManagerTitle_Tips10 NPC列表
>NpcManagerTitle_Tips11 相关人员
>NpcManagerTitle_Tips12 关系列表
>NpcManagerTitle_Tips13 地图工作列表
>NpcManagerTitle_Tips14 工作列表
>NpcManagerTitle_Tips15 命令列表
>NpcManagerTitle_Tips16 需求列表
>NpcManagerTitle_Tips17 称号列表
>NpcManagerTitle_Tips18 更新成功!
>NpcManagerTitle_Tips19 需求拉满成功!
>NpcManagerTitle_Tips20 开始工作成功!
>NpcManagerTitle_Tips21 开始工作失败!
>NpcManagerTitle_Tips22 结束工作成功!
>NpcManagerTitle_Tips23 结束工作失败!
>NpcManagerTitle_Tips24 寻找工作成功!
>NpcManagerTitle_Tips25 寻找工作失败!
>NpcManagerTitle_Tips26 得到命令成功!
>NpcManagerTitle_Tips27 得到命令失败!
>NpcManagerTitle_Tips28 遍历工作成功!
>NpcManagerTitle_Tips29 遍历工作失败!
>NpcManagerTitle_Tips30 移除全部关系成功!
>NpcManagerTitle_Tips31 显示现有关系成功!
>NpcManagerTitle_Tips32 移除该关系成功!
>NpcManagerTitle_Tips33 移除该关系失败!
>NpcManagerTitle_Tips34 移除与该人该关系成功!
>NpcManagerTitle_Tips35 移除与该人所有关系成功!
>NpcManagerTitle_Tips36 显示所有NPC成功!
>NpcManagerTitle_Tips37 显示所有关系成功!
>NpcManagerTitle_Tips38 添加关系成功!
>NpcManagerTitle_Tips39 显示该NPC全部标志!
>NpcManagerTitle_Tips40 显示全部标志!
>NpcManagerTitle_Tips41 移除标志成功!
>NpcManagerTitle_Tips42 移除标志失败!
>NpcManagerTitle_Tips43 添加标志成功!
>NpcManagerTitle_Tips44 添加标志失败!
>NpcManagerTitle_Tips45 清风牌
>NpcManagerTitle_Tips46 清风谷专属铭牌
>NpcManagerTitle_Tips47 
>NpcManagerTitle_Tips48 
>NpcManagerTitle_Tips49 


>----------window25 其他修炼体系----------
>NpcManagerOtherPractice_Title 其他修炼体系
>NpcManagerOtherPractice_Title NPC更多管理
>NpcManagerOtherPractice_ShowLable1 超级部件:
>NpcManagerOtherPractice_bntOutRule 超脱规则
>NpcManagerOtherPractice_lable11 ID:
>NpcManagerOtherPractice_bntAddSpParts 添加部位
>NpcManagerOtherPractice_bntRemoveSpParts 移除部位
>NpcManagerOtherPractice_bntGetAllSpParts 所有部位
>NpcManagerOtherPractice_ShowLable2 淬炼之法:
>NpcManagerOtherPractice_bnt2_1 添加方法
>NpcManagerOtherPractice_bnt2_2 移除方法
>NpcManagerOtherPractice_bnt2_4 所有方法
>NpcManagerOtherPractice_ShowLable3 姿态:
>NpcManagerOtherPractice_bnt3_1 添加姿态
>NpcManagerOtherPractice_bnt3_2 移除姿态
>NpcManagerOtherPractice_bnt3_4 所有姿态
>NpcManagerOtherPractice_ShowLable4 词条管理:
>NpcManagerOtherPractice_bnt4_1 添加词条
>NpcManagerOtherPractice_bnt4_2 移除词条
>NpcManagerOtherPractice_bnt4_4 所有词条
>NpcManagerOtherPractice_lable41 个数:
>NpcManagerOtherPractice_bnt4_5 确认修改
>NpcManagerOtherPractice_bnt4_6 全部满级
>NpcManagerOtherPractice_bnt4_7 清空词条
>NpcManagerOtherPractice_bnt4_8 清空精华
>NpcManagerOtherPractice_ShowLable5 思绪管理:
>NpcManagerOtherPractice_bnt5_2 添加碎片
>NpcManagerOtherPractice_bnt5_4 添加思绪
>NpcManagerOtherPractice_bnt5_1 所有思绪
>NpcManagerOtherPractice_bnt5_5 清空碎片
>NpcManagerOtherPractice_bnt5_6 清空思绪
>NpcManagerOtherPractice_bnt5_3 完成思考

>NpcManagerOtherPractice_Tips1 允许你添加不属于该角色种族的秘体![color=#BF1010]添加这类秘体时,存档大概率损坏!!![color]
>NpcManagerOtherPractice_Tips2 已关闭该功能!
>NpcManagerOtherPractice_Tips3 显示人物超级部件成功!
>NpcManagerOtherPractice_Tips4 显示人物超级部件失败!
>NpcManagerOtherPractice_Tips5 显示所有超级部件成功!
>NpcManagerOtherPractice_Tips6 显示所有超级部件失败!
>NpcManagerOtherPractice_Tips7 添加超级部件成功!
>NpcManagerOtherPractice_Tips8 添加超级部件失败!
>NpcManagerOtherPractice_Tips9 移除超级部件成功!
>NpcManagerOtherPractice_Tips10 移除超级部件失败!
>NpcManagerOtherPractice_Tips11 修改列表成功!
>NpcManagerOtherPractice_Tips12 修改列表失败!
>NpcManagerOtherPractice_Tips13 确认列表成功!
>NpcManagerOtherPractice_Tips14 确认列表失败!
>NpcManagerOtherPractice_Tips15 显示人物淬体之法列表成功!
>NpcManagerOtherPractice_Tips16 显示人物淬体之法列表失败!
>NpcManagerOtherPractice_Tips17 显示所有淬体之法列表成功!
>NpcManagerOtherPractice_Tips18 显示所有淬体之法列表失败!
>NpcManagerOtherPractice_Tips19 添加淬体之法成功!
>NpcManagerOtherPractice_Tips20 添加淬体之法失败!
>NpcManagerOtherPractice_Tips21 移除淬体之法成功!
>NpcManagerOtherPractice_Tips22 移除淬体之法失败!
>NpcManagerOtherPractice_Tips23 显示人物姿态列表成功!
>NpcManagerOtherPractice_Tips24 显示人物姿态列表失败!
>NpcManagerOtherPractice_Tips25 显示所有姿态列表成功!
>NpcManagerOtherPractice_Tips26 显示所有姿态列表失败!
>NpcManagerOtherPractice_Tips27 添加姿态成功!
>NpcManagerOtherPractice_Tips28 添加姿态失败!
>NpcManagerOtherPractice_Tips29 移除姿态成功!
>NpcManagerOtherPractice_Tips30 移除姿态失败!
>NpcManagerOtherPractice_Tips31 显示全部淬体词条成功!
>NpcManagerOtherPractice_Tips32 显示全部淬体词条失败!
>NpcManagerOtherPractice_Tips33 显示NPC淬体词条列表成功!
>NpcManagerOtherPractice_Tips34 显示NPC淬体词条列表失败!
>NpcManagerOtherPractice_Tips35 移除淬体词条列表成功!
>NpcManagerOtherPractice_Tips36 移除淬体词条列表失败!
>NpcManagerOtherPractice_Tips37 修改成功!
>NpcManagerOtherPractice_Tips38 修改失败!
>NpcManagerOtherPractice_Tips39 添加成功!
>NpcManagerOtherPractice_Tips40 添加失败!
>NpcManagerOtherPractice_Tips41 已修改词条数:
>NpcManagerOtherPractice_Tips42 清空绑定的精华成功!
>NpcManagerOtherPractice_Tips43 清空绑定的精华失败!
>NpcManagerOtherPractice_Tips44 已清除词条数:
>NpcManagerOtherPractice_Tips45 显示所有思绪碎片成功!
>NpcManagerOtherPractice_Tips46 显示所有思绪碎片失败!
>NpcManagerOtherPractice_Tips47 添加思绪碎片成功!
>NpcManagerOtherPractice_Tips48 添加思绪碎片失败!
>NpcManagerOtherPractice_Tips49 完成现有思考成功!
>NpcManagerOtherPractice_Tips50 完成现有思考失败!
>NpcManagerOtherPractice_Tips51 添加思绪成功!
>NpcManagerOtherPractice_Tips52 添加思绪失败!
>NpcManagerOtherPractice_Tips53 清空思绪碎片成功!
>NpcManagerOtherPractice_Tips54 清空思绪碎片失败!
>NpcManagerOtherPractice_Tips55 清空思绪成功!
>NpcManagerOtherPractice_Tips56 清空思绪失败!
>NpcManagerOtherPractice_Tips57 NPC思绪列表
>NpcManagerOtherPractice_Tips58 超级部位列表
>NpcManagerOtherPractice_Tips59 NPC部位列表
>NpcManagerOtherPractice_Tips60 部位属性列表
>NpcManagerOtherPractice_Tips61 淬体方法列表
>NpcManagerOtherPractice_Tips62 NPC淬体法列表
>NpcManagerOtherPractice_Tips63 姿态列表
>NpcManagerOtherPractice_Tips64 NPC姿态列表
>NpcManagerOtherPractice_Tips65 NPC部件列表
>NpcManagerOtherPractice_Tips66 淬体词条列表
>NpcManagerOtherPractice_Tips67 
>NpcManagerOtherPractice_Tips68 
>NpcManagerOtherPractice_Tips69 

>----------window26 内门管理----------
>NpcManagerInterior_Title 内门管理
>NpcManagerInterior_mod1lab 秘籍管理:
>NpcManagerInterior_ShowLableTitleID 秘籍编号:
>NpcManagerInterior_lablen1 添加:
>NpcManagerInterior_bntAddEsoterica 添加秘籍:
>NpcManagerInterior_bntRemoveEsoterica 移除秘籍
>NpcManagerInterior_bntUpdateEsoterica 更新列表
>NpcManagerInterior_CheckBox1 显示提示
>NpcManagerInterior_CheckBox2 增加道行
>NpcManagerInterior_bntAddEsotericaAll 全部添加
>NpcManagerInterior_bntReEsotericaAll 全部移除
>NpcManagerInterior_bntAllEsoterica1 全部秘籍
>NpcManagerInterior_JDlablen 金丹:
>NpcManagerInterior_JDlablen1 金丹灵气值:
>NpcManagerInterior_bntSetJDLing 设置
>NpcManagerInterior_GongBook 功法:
>NpcManagerInterior_GongID ID:
>NpcManagerInterior_GongStale 境界:
>NpcManagerInterior_bntSetAllGong 全部功法
>NpcManagerInterior_QuickLab 快捷设置:
>NpcManagerInterior_bntReAllMagic 移除术法技能
>NpcManagerInterior_bntReAllSpell 移除符咒列表
>NpcManagerInterior_bntReAllDan 移除全部丹方
>NpcManagerInterior_bntReAllTree 重置功法技能
>NpcManagerInterior_Tips1 当前选择的秘籍
>NpcManagerInterior_Tips2 当前选择的称号
>NpcManagerInterior_Tips3 当前选择的工作
>NpcManagerInterior_Tips4 当前选择的功法
>NpcManagerInterior_Tips5 当前功法
>NpcManagerInterior_Tips6 当前无金丹
>NpcManagerInterior_Tips7 内门管理
>NpcManagerInterior_Tips8 无名氏
>NpcManagerInterior_Tips9 秘籍列表
>NpcManagerInterior_Tips10 全部秘籍列表
>NpcManagerInterior_Tips11 全部功法列表
>NpcManagerInterior_Tips12 显示全部功法成功!
>NpcManagerInterior_Tips13 显示全部功法失败!
>NpcManagerInterior_Tips14 改变功法成功!
>NpcManagerInterior_Tips15 改变功法失败!
>NpcManagerInterior_Tips16 显示全部秘籍成功!
>NpcManagerInterior_Tips17 显示全部秘籍失败!
>NpcManagerInterior_Tips18 添加全部秘籍成功!
>NpcManagerInterior_Tips19 添加全部秘籍失败!
>NpcManagerInterior_Tips20 更新秘籍列表成功!
>NpcManagerInterior_Tips21 更新秘籍列表失败!
>NpcManagerInterior_Tips22 添加秘籍成功!
>NpcManagerInterior_Tips23 添加秘籍失败!
>NpcManagerInterior_Tips24 移除成功!
>NpcManagerInterior_Tips25 移除失败!
>NpcManagerInterior_Tips26 全部移除成功!
>NpcManagerInterior_Tips27 全部移除失败!
>NpcManagerInterior_Tips28 设置成功!
>NpcManagerInterior_Tips29 设置失败!
>NpcManagerInterior_Tips30 术法技能全部移除成功!
>NpcManagerInterior_Tips31 术法技能全部移除失败!
>NpcManagerInterior_Tips32 可画符咒全部移除成功!
>NpcManagerInterior_Tips33 可画符咒全部移除失败!
>NpcManagerInterior_Tips34 丹方全部移除成功!
>NpcManagerInterior_Tips35 丹方全部移除失败!
>NpcManagerInterior_Tips36 执行功法技能树重置流程成功!
>NpcManagerInterior_Tips37 执行功法技能树重置流程失败!
>NpcManagerInterior_Tips38 搜索成功!
>NpcManagerInterior_Tips39 搜索失败!





>----------window27 人物管理----------
>NpcManager_Title 人物管理
>NpcManager_btnNpcBreakNeck 突破瓶颈
>NpcManager_btnNpcThunderKill 天雷轰杀
>NpcManager_btnNpcKillNoCause 直接击杀
>NpcManager_btnNpcRemoveNPC 移除NPC
>NpcManager_btnNpcNoClothes 全部脱光
>NpcManager_btnNpcHealthyBody 移除损伤
>NpcManager_btnNpcReborn 再造身躯
>NpcManager_btnNpcForceReborn 拯救弥留
>NpcManager_btnDeadLive 死者复生
>NpcManager_btnNpcKillCloud 杀死劫云
>NpcManager_btnNpcUpgradeStage 提升阶段
>NpcManager_btnNpcObsessionMindFull 执念全满
>NpcManager_btnNpcRemoveObsession 清空执念
>NpcManager_btnNpcUpGradeObsessionMind 斩断执念
>NpcManager_btnNPCGodCoreNpcAdd 招收信徒
>NpcManager_btnNPCGodCoreNpcUpB 升信仰度
>NpcManager_btnNPCGodCoreNpcDownB 降信仰度
>NpcManager_btnNPCGodCoreNpcRemove 信徒归零
>NpcManager_btnNPCRemoveBuildings 清空建筑
>NpcManager_btnNPCUnlockBuildings 解锁建筑
>NpcManager_btnNPCFinishWish 完成愿望
>NpcManager_btnNpcFullFive 拉满五维
>NpcManager_btnNpcFullNeed 需求全满
>NpcManager_btnNpcEmptyNeed 需求全空
>NpcManager_btnFullHaoGan 好感全满
>NpcManager_btnZeroHaoGan 好感归零
>NpcManager_btnEmptyHaoGan 好感全负
>NpcManager_btnNoHaoGan 重置关系
>NpcManager_btnNpcRemoveResistance 去耐药性
>NpcManager_btnRemoveMemeries 清除记忆
>NpcManager_btnNpcToPuppet 变成傀儡
>NpcManager_btnNpcToZombie 变成僵尸
>NpcManager_btnNpcMakeElite 变成妖兽
>NpcManager_btnNpcToLS 变成灵兽
>NpcManager_btnNpcToLS2 灵兽取消
>NpcManager_btnNpcKZ 动物启智
>NpcManager_btnNPCBodyToHuman 妖兽化形
>NpcManager_btnNpcCantMove 允许移动
>NpcManager_btnNpcCantMove2 禁止移动
>NpcManager_btnNPCXPCS 玄牝重生
>NpcManager_btnNPCCHDJ 恢复道基
>NpcManager_btnNPCCHDJ2 摧毁道基
>NpcManager_btnNPCSetPostion 改变位置
>NpcManager_lable15 其他管理:
>NpcManager_btnNpcInteriorNPC 功法秘籍
>NpcManager_btnNpcMoreNPC 需求关系
>NpcManager_btnNpcManagerOtherPractice 其他体系
>NpcManager_lable3111 NPC编号:
>NpcManager_btnChooseNpc 选择
>NpcManager_btnShowChoose 查看位置
